Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Notes,ID,Currency conversion fee (EUR)
Market sell,2022-04-26 14:36:16,US1912161007,KO,"Coca-Cola",1.6880000000,65.79,USD,1.06682,4.89,103.94,,,,,,EOF1886036993,0.16
Market buy,2022-04-26 14:38:08,US55336V1008,MPLX,"MPLX LP",19.2807040000,32.57,USD,1.06651,,589.69,,,,,,EOF1886037345,0.88
Market buy,2022-04-26 14:38:23,US55336V1008,MPLX,"MPLX LP",0.7192960000,32.56,USD,1.06655,,21.99,,,,,,EOF1886037406,0.03
Market buy,2022-04-26 14:38:32,US55336V1008,MPLX,"MPLX LP",1.0000000000,32.56,USD,1.06647,,30.58,,,,,,EOF1886037526,0.05
Market sell,2022-04-26 15:16:51,US55336V1008,MPLX,"MPLX LP",16.2020000000,32.90,USD,1.06573,5.59,499.42,,,,,,EOF1886044675,0.75
Market sell,2022-04-26 15:16:59,US55336V1008,MPLX,"MPLX LP",11.7980000000,32.90,USD,1.06578,4.05,363.65,,,,,,EOF1886044681,0.55
Market sell,2022-04-26 15:26:22,US00206R1023,T,"AT&T",4.0000000000,19.37,USD,1.06597,2.78,72.57,,,,,,EOF1886046778,0.11
Market buy,2022-04-26 18:26:08,US30231G1022,XOM,"Exxon Mobil",10.5237230000,83.18,USD,1.06485,,823.28,,,,,,EOF1887112287,1.23
Market buy,2022-04-26 18:26:16,US30231G1022,XOM,"Exxon Mobil",1.0000000000,83.17,USD,1.06485,,78.22,,,,,,EOF1887112294,0.12
Market buy,2022-04-26 18:26:23,US30231G1022,XOM,"Exxon Mobil",0.4762770000,83.18,USD,1.06479,,37.27,,,,,,EOF1887112296,0.06
Deposit,2022-04-27 14:28:04,,,,,,,,,2500.00,,,2517.50,17.50,"Transaction ID: NJTF37ZTWSXDQ632",d24747ce-89ff-46f9-84da-41ff7b142a40,
Market buy,2022-04-27 14:30:31,US55336V1008,MPLX,"MPLX LP",28.7059320000,32.36,USD,1.05324,,883.29,,,,,,EOF1888163648,1.32
Market buy,2022-04-27 14:31:02,US55336V1008,MPLX,"MPLX LP",31.0000000000,32.36,USD,1.05331,,953.81,,,,,,EOF1888163774,1.43
Market buy,2022-04-27 14:31:20,US55336V1008,MPLX,"MPLX LP",16.2940680000,32.35,USD,1.05258,,501.53,,,,,,EOF1888163819,0.75
Market buy,2022-04-27 14:31:36,US55336V1008,MPLX,"MPLX LP",5.0000000000,32.36,USD,1.05283,,153.91,,,,,,EOF1888164045,0.23
Market sell,2022-04-27 16:59:28,US30231G1022,XOM,"Exxon Mobil",6.3830000000,85.24,USD,1.05661,16.34,514.17,,,,,,EOF1888178050,0.77
Market sell,2022-04-27 16:59:44,US30231G1022,XOM,"Exxon Mobil",5.6170000000,85.27,USD,1.05647,14.60,452.68,,,,,,EOF1888178065,0.68
Market buy,2022-04-27 17:00:18,US0378331005,AAPL,"Apple",5.6666025000,158.79,USD,1.05602,,853.35,,,,,,EOF1888178114,1.28
Market buy,2022-04-27 17:00:33,US0378331005,AAPL,"Apple",0.3333975000,158.68,USD,1.05608,,50.17,,,,,,EOF1888178126,0.08
Market buy,2022-04-27 18:36:57,US00123Q1040,AGNC,"AGNC Investment",6.0000000000,11.18,USD,1.05585,,63.63,,,,,,EOF1888182494,0.10
Market buy,2022-04-27 18:36:57,US00123Q1040,AGNC,"AGNC Investment",1.0000000000,11.18,USD,1.05585,,10.61,,,,,,EOF1888182493,0.02
Deposit,2022-04-28 06:47:34,,,,,,,,,1000.00,,,1000.00,,"Bank Transfer",f7a93ed9-a1fd-42fe-95ab-2ff283413947,
Market sell,2022-04-28 18:46:03,US0378331005,AAPL,"Apple",4.3012000000,163.56,USD,1.05049,22.96,668.69,,,,,,EOF1890163184,1.00
Market sell,2022-04-28 18:46:19,US0378331005,AAPL,"Apple",1.6988000000,163.61,USD,1.05052,9.14,264.17,,,,,,EOF1890163201,0.40
Market sell,2022-04-28 18:47:56,US55336V1008,MPLX,"MPLX LP",17.3140000000,32.76,USD,1.05053,7.93,539.11,,,,,,EOF1890163268,0.81
Market sell,2022-04-28 18:48:01,US55336V1008,MPLX,"MPLX LP",32.4040000000,32.76,USD,1.05052,14.85,1008.98,,,,,,EOF1890163275,1.52
Market sell,2022-04-28 18:48:20,US55336V1008,MPLX,"MPLX LP",31.2820000000,32.76,USD,1.05051,14.35,974.06,,,,,,EOF1890163282,1.46
Market buy,2022-04-29 13:30:09,US67066G1040,NVDA,"Nvidia",5.0661062000,194.13,USD,1.05252,,935.80,,,,,,EOF1890194585,1.40
Market buy,2022-04-29 13:30:24,US67066G1040,NVDA,"Nvidia",4.9338938000,194.85,USD,1.05273,,914.58,,,,,,EOF1890198947,1.37
Market buy,2022-04-29 16:59:10,US55336V1008,MPLX,"MPLX LP",29.2536180000,32.53,USD,1.05482,,903.51,,,,,,EOF1891330503,1.35
Market buy,2022-04-29 16:59:26,US55336V1008,MPLX,"MPLX LP",27.0000000000,32.54,USD,1.05472,,834.24,,,,,,EOF1891330511,1.25
Market buy,2022-04-29 16:59:26,US55336V1008,MPLX,"MPLX LP",4.0000000000,32.54,USD,1.05472,,123.60,,,,,,EOF1891330510,0.19
Market buy,2022-04-29 16:59:56,US55336V1008,MPLX,"MPLX LP",23.7463820000,32.54,USD,1.05484,,733.63,,,,,,EOF1891330529,1.10
Market sell,2022-05-02 19:51:42,US5949181045,MSFT,"Microsoft",0.3163000000,283.69,USD,1.05061,0.87,85.28,,,,,,EOF1894726644,0.13
Market sell,2022-05-02 19:51:58,US5949181045,MSFT,"Microsoft",1.0837000000,284.23,USD,1.05069,3.52,292.72,,,,,,EOF1894726664,0.44
Market buy,2022-05-02 19:54:10,US55336V1008,MPLX,"MPLX LP",11.0000000000,32.33,USD,1.05056,,339.02,,,,,,EOF1894726789,0.51
Market buy,2022-05-02 19:54:36,US55336V1008,MPLX,"MPLX LP",1.4000000000,32.35,USD,1.05076,,43.16,,,,,,EOF1894726831,0.06
Dividend (Ordinary),2022-05-03 08:51:02,US00206R1023,T,"AT&T",4.0000000000,0.24,USD,Not available,,0.90,0.17,USD,,,,,
Deposit,2022-05-03 15:44:47,,,,,,,,,1000.00,,,1007.00,7.00,"Transaction ID: F76G7PPDC23CHK52",631c46cd-5b9a-4aaf-9a50-c1dbf33b996e,
Deposit,2022-05-03 15:44:54,,,,,,,,,1000.00,,,1007.00,7.00,"Transaction ID: FFQDJQ29R6V3J4C2",0ca7a616-13a6-451e-af14-44456bc422e7,
Market buy,2022-05-03 15:45:50,US1912161007,KO,"Coca-Cola",7.5542420000,63.41,USD,1.05336,,455.42,,,,,,EOF1896174197,0.68
Market buy,2022-05-03 15:46:06,US1912161007,KO,"Coca-Cola",7.4457580000,63.42,USD,1.05330,,448.98,,,,,,EOF1896174215,0.67
Market buy,2022-05-03 16:45:09,US4781601046,JNJ,"Johnson & Johnson",4.2761452000,179.56,USD,1.05169,,731.18,,,,,,EOF1896178310,1.10
Market buy,2022-05-03 16:45:15,US4781601046,JNJ,"Johnson & Johnson",0.4000000000,179.49,USD,1.05164,,68.37,,,,,,EOF1896178314,0.10
Market buy,2022-05-03 16:45:24,US4781601046,JNJ,"Johnson & Johnson",1.7238548000,179.50,USD,1.05170,,294.66,,,,,,EOF1896178315,0.44
Market sell,2022-05-03 17:06:08,US55336V1008,MPLX,"MPLX LP",15.9970000000,32.74,USD,1.05235,4.38,496.93,,,,,,EOF1896179453,0.75
Market sell,2022-05-03 17:06:25,US55336V1008,MPLX,"MPLX LP",32.4440000000,32.78,USD,1.05237,10.11,1009.07,,,,,,EOF1896179458,1.52
Market sell,2022-05-03 17:07:04,US55336V1008,MPLX,"MPLX LP",30.1680000000,32.74,USD,1.05212,8.47,937.36,,,,,,EOF1896179490,1.41
Market sell,2022-05-03 17:07:28,US55336V1008,MPLX,"MPLX LP",17.7910000000,32.77,USD,1.05197,5.59,553.38,,,,,,EOF1896179506,0.83
Market buy,2022-05-03 18:16:15,US55336V1008,MPLX,"MPLX LP",49.9649610000,32.58,USD,1.05254,,1548.91,,,,,,EOF1896183218,2.32
Market buy,2022-05-03 18:16:50,US55336V1008,MPLX,"MPLX LP",31.0000000000,32.56,USD,1.05228,,960.64,,,,,,EOF1896183248,1.44
Market buy,2022-05-03 18:18:18,US55336V1008,MPLX,"MPLX LP",4.6000000000,32.55,USD,1.05226,,142.50,,,,,,EOF1896183325,0.21
Market buy,2022-05-03 18:18:18,US55336V1008,MPLX,"MPLX LP",11.0350390000,32.55,USD,1.05226,,341.86,,,,,,EOF1896183324,0.51
Market sell,2022-05-04 14:47:38,US55336V1008,MPLX,"MPLX LP",16.0610000000,33.18,USD,1.05369,8.72,504.99,,,,,,EOF1897082828,0.76
Market sell,2022-05-04 14:47:54,US55336V1008,MPLX,"MPLX LP",32.4140000000,33.18,USD,1.05364,17.63,1019.20,,,,,,EOF1897082854,1.53
Market sell,2022-05-04 14:49:01,US55336V1008,MPLX,"MPLX LP",32.0320000000,33.17,USD,1.05367,17.09,1006.86,,,,,,EOF1897082960,1.51
Market sell,2022-05-04 14:49:20,US55336V1008,MPLX,"MPLX LP",16.0930000000,33.17,USD,1.05382,8.52,505.78,,,,,,EOF1897082983,0.76
Market sell,2022-05-04 17:35:02,US1912161007,KO,"Coca-Cola",11.5970000000,63.83,USD,1.05408,4.08,701.21,,,,,,EOF1897093964,1.05
Market sell,2022-05-04 17:35:21,US1912161007,KO,"Coca-Cola",3.4030000000,63.84,USD,1.05404,1.24,205.80,,,,,,EOF1897093981,0.31
Market buy,2022-05-04 19:15:57,US55336V1008,MPLX,"MPLX LP",47.5823360000,33.94,USD,1.05982,,1526.08,,,,,,EOF1897101859,2.29
Market buy,2022-05-04 19:16:06,US55336V1008,MPLX,"MPLX LP",7.0000000000,33.95,USD,1.06015,,224.51,,,,,,EOF1897101876,0.34
Market buy,2022-05-04 19:16:19,US55336V1008,MPLX,"MPLX LP",24.0000000000,33.96,USD,1.06015,,769.94,,,,,,EOF1897101895,1.15
Market buy,2022-05-04 19:16:42,US55336V1008,MPLX,"MPLX LP",31.0000000000,33.92,USD,1.05974,,993.72,,,,,,EOF1897101944,1.49
Market buy,2022-05-04 19:18:54,US55336V1008,MPLX,"MPLX LP",13.4176640000,33.92,USD,1.05968,,430.13,,,,,,EOF1897102217,0.64
Market sell,2022-05-04 19:41:57,US67066G1040,NVDA,"Nvidia",6.8664000000,203.06,USD,1.05961,11.18,1313.87,,,,,,EOF1898154261,1.97
